epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,125.976,0.58392,0.42222,0.51761,0.88169,0.96335,1,0.99412,0.83572,0.96335,1,0.99412,0.84085,0.54361,0.4277,0.48235,0.8478,0.001406,0.001406,0.001406
32,129.829,0.5688,0.41732,0.53015,0.86273,0.98756,0.93939,0.97962,0.82683,0.98756,0.93939,0.97962,0.85451,0.54685,0.43299,0.50533,0.85647,0.0013862,0.0013862,0.0013862
33,133.775,0.59199,0.47532,0.5075,0.85796,0.99272,0.87879,0.96877,0.82015,0.99272,0.87879,0.96877,0.82741,0.62949,0.49579,0.54265,0.89652,0.0013664,0.0013664,0.0013664
34,137.777,0.58918,0.43942,0.51154,0.87636,0.93855,1,0.99238,0.85011,0.93855,1,0.99238,0.8929,0.60622,0.45526,0.43604,0.84898,0.0013466,0.0013466,0.0013466
35,141.73,0.592,0.43907,0.50493,0.87066,0.96985,0.97481,0.99412,0.82694,0.96985,0.97481,0.99412,0.82743,0.66449,0.37421,0.46252,0.85723,0.0013268,0.0013268,0.0013268
36,145.742,0.56873,0.41305,0.4981,0.87231,0.99802,1,0.995,0.8802,0.99802,1,0.995,0.83855,0.58032,0.41253,0.4805,0.84184,0.001307,0.001307,0.001307
37,149.623,0.60619,0.45017,0.5007,0.86207,0.98417,1,0.995,0.85042,0.98417,1,0.995,0.86558,0.63957,0.45751,0.47909,0.87297,0.0012872,0.0012872,0.0012872
38,153.562,0.5619,0.38534,0.48657,0.86236,0.99007,1,0.995,0.83785,0.99007,1,0.995,0.87877,0.54302,0.42301,0.42012,0.84547,0.0012674,0.0012674,0.0012674
39,157.496,0.57609,0.44768,0.49367,0.86532,0.99744,1,0.995,0.85463,0.99744,1,0.995,0.87554,0.55864,0.42915,0.41854,0.85387,0.0012476,0.0012476,0.0012476
40,161.496,0.53786,0.41787,0.46375,0.86166,0.99575,1,0.995,0.87655,0.99575,1,0.995,0.89735,0.50988,0.41339,0.40197,0.82958,0.0012278,0.0012278,0.0012278
41,165.432,0.53006,0.38209,0.4654,0.8526,0.997,1,0.995,0.85529,0.997,1,0.995,0.90562,0.56557,0.36467,0.39384,0.84532,0.001208,0.001208,0.001208
42,169.385,0.53131,0.38172,0.46484,0.8513,0.996,1,0.995,0.85603,0.996,1,0.995,0.91462,0.59623,0.42428,0.41021,0.86683,0.0011882,0.0011882,0.0011882
43,173.364,0.54793,0.44675,0.45678,0.8497,0.97047,0.99615,0.99147,0.85042,0.97047,0.99615,0.99147,0.84398,0.55684,0.46356,0.4305,0.83745,0.0011684,0.0011684,0.0011684
44,177.289,0.53563,0.41453,0.44994,0.85106,1,0.9957,0.995,0.86251,1,0.9957,0.995,0.88852,0.53149,0.40725,0.42219,0.82783,0.0011486,0.0011486,0.0011486
45,181.313,0.53426,0.43231,0.45699,0.84547,1,0.99868,0.995,0.86673,1,0.99868,0.995,0.9361,0.47743,0.4323,0.39569,0.81375,0.0011288,0.0011288,0.0011288
46,185.31,0.5348,0.41215,0.45504,0.85811,0.99526,1,0.995,0.88844,0.99526,1,0.995,0.90088,0.48145,0.45459,0.37463,0.81364,0.001109,0.001109,0.001109
47,189.344,0.52151,0.45283,0.43806,0.85727,0.99541,1,0.995,0.87104,0.99541,1,0.995,0.89293,0.49751,0.38939,0.39374,0.81262,0.0010892,0.0010892,0.0010892
48,193.392,0.53323,0.47833,0.435,0.84155,0.99676,1,0.995,0.86987,0.99676,1,0.995,0.8638,0.50967,0.38354,0.39017,0.80723,0.0010694,0.0010694,0.0010694
49,197.349,0.52787,0.41535,0.43852,0.85442,0.98675,0.9697,0.99329,0.88592,0.98675,0.9697,0.99329,0.9328,0.47688,0.38126,0.36832,0.81103,0.0010496,0.0010496,0.0010496
50,201.316,0.5292,0.44729,0.42313,0.86134,0.99824,0.9697,0.9925,0.8758,0.99824,0.9697,0.9925,0.89809,0.50515,0.42092,0.38525,0.8196,0.0010298,0.0010298,0.0010298
51,205.405,0.53191,0.4214,0.42126,0.85063,0.99925,0.9697,0.99329,0.88578,0.99925,0.9697,0.99329,0.91963,0.46772,0.40907,0.3735,0.80704,0.00101,0.00101,0.00101
52,209.253,0.52399,0.39693,0.41722,0.85236,1,0.96902,0.987,0.86664,1,0.96902,0.987,0.87495,0.50904,0.4907,0.44601,0.84573,0.0009902,0.0009902,0.0009902
53,213.2,0.48922,0.3983,0.41079,0.84441,0.99745,0.9697,0.9852,0.87503,0.99745,0.9697,0.9852,0.85563,0.50153,0.47833,0.42415,0.80944,0.0009704,0.0009704,0.0009704
54,217.089,0.48594,0.36802,0.40028,0.84091,1,0.99755,0.995,0.90127,1,0.99755,0.995,0.9116,0.45198,0.41685,0.40019,0.81522,0.0009506,0.0009506,0.0009506
55,220.983,0.47717,0.39212,0.40238,0.83455,0.99848,1,0.995,0.88907,0.99848,1,0.995,0.91664,0.51394,0.42249,0.39664,0.84551,0.0009308,0.0009308,0.0009308
56,224.98,0.48857,0.41404,0.4037,0.838,0.99916,1,0.995,0.88758,0.99916,1,0.995,0.87788,0.44702,0.38178,0.34858,0.80428,0.000911,0.000911,0.000911
57,229.02,0.48698,0.43802,0.40614,0.84985,0.99842,1,0.995,0.87049,0.99842,1,0.995,0.88521,0.53118,0.39406,0.35563,0.82613,0.0008912,0.0008912,0.0008912
