epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,123.435,0.60882,0.59506,0.55814,0.87904,0.96747,0.90144,0.96376,0.76401,0.96747,0.90144,0.96376,0.82992,0.75743,0.7664,0.6996,0.93149,0.0014258,0.0014258,0.0014258
31,127.343,0.57543,0.58168,0.54519,0.86994,0.96188,0.93939,0.96922,0.78897,0.96188,0.93939,0.96055,0.81745,0.76861,0.76467,0.74544,0.9745,0.001406,0.001406,0.001406
32,131.22,0.56357,0.57461,0.52775,0.87625,0.97986,0.87879,0.96681,0.76484,0.97986,0.87879,0.95244,0.83069,0.67971,0.9464,0.58877,0.94381,0.0013862,0.0013862,0.0013862
33,135.091,0.56529,0.52697,0.50968,0.87157,0.85818,0.91699,0.95038,0.75718,0.85818,0.91699,0.94184,0.80964,0.80324,0.86752,0.6635,0.96669,0.0013664,0.0013664,0.0013664
34,138.995,0.58843,0.53743,0.50813,0.86456,0.99829,0.90909,0.96304,0.76603,0.99829,0.90909,0.95489,0.79297,0.75878,0.88695,0.6317,0.93456,0.0013466,0.0013466,0.0013466
35,142.918,0.56223,0.56889,0.50661,0.85337,0.86264,0.95171,0.95491,0.77364,0.86264,0.95171,0.94643,0.8267,0.64598,0.67476,0.63824,0.87585,0.0013268,0.0013268,0.0013268
36,146.805,0.52621,0.49675,0.46976,0.85229,0.94085,0.96411,0.98063,0.78089,0.94085,0.96411,0.98063,0.84272,0.64043,0.56133,0.58919,0.8859,0.001307,0.001307,0.001307
37,150.746,0.53972,0.48929,0.47643,0.85298,0.93151,0.9697,0.96753,0.7897,0.93151,0.9697,0.96753,0.85374,0.65801,0.57456,0.57293,0.89944,0.0012872,0.0012872,0.0012872
38,154.702,0.5294,0.51076,0.4732,0.84319,0.95654,0.90909,0.95759,0.77265,0.95654,0.90909,0.9428,0.83802,0.72464,0.70997,0.66295,0.91444,0.0012674,0.0012674,0.0012674
39,158.517,0.51205,0.50832,0.45518,0.84563,0.96192,0.90909,0.96586,0.76539,0.96192,0.90909,0.96586,0.8408,0.76004,0.57738,0.59484,0.9265,0.0012476,0.0012476,0.0012476
40,162.495,0.49221,0.51602,0.44693,0.856,0.95819,0.87879,0.96677,0.7742,0.95819,0.87879,0.96677,0.84389,0.75987,0.4561,0.60502,0.92725,0.0012278,0.0012278,0.0012278
41,166.371,0.51587,0.51782,0.45778,0.85523,0.99699,0.93939,0.98919,0.79168,0.99699,0.93939,0.98919,0.8573,0.75457,0.48995,0.6311,0.93383,0.001208,0.001208,0.001208
42,170.227,0.5107,0.466,0.45634,0.85096,0.96441,0.9697,0.99068,0.80728,0.96441,0.9697,0.99068,0.87226,0.65162,0.47646,0.55332,0.90066,0.0011882,0.0011882,0.0011882
43,174.124,0.51701,0.49216,0.44682,0.85641,0.96918,0.95313,0.99159,0.8317,0.96918,0.95313,0.99159,0.89783,0.61733,0.48516,0.58106,0.87713,0.0011684,0.0011684,0.0011684
44,178.419,0.50315,0.50058,0.43803,0.82838,0.99327,0.9697,0.9925,0.78969,0.99327,0.9697,0.9925,0.91312,0.6712,0.43677,0.55838,0.88648,0.0011486,0.0011486,0.0011486
45,182.588,0.51746,0.4731,0.43982,0.8588,1,0.94122,0.9925,0.82468,1,0.94122,0.9925,0.88269,0.64412,0.39142,0.50055,0.85749,0.0011288,0.0011288,0.0011288
46,186.769,0.52684,0.50811,0.4535,0.84301,0.97041,0.99391,0.99147,0.82712,0.97041,0.99391,0.99147,0.89471,0.65894,0.41616,0.55957,0.8901,0.001109,0.001109,0.001109
47,190.825,0.53723,0.52505,0.46124,0.84652,0.91041,1,0.98272,0.82157,0.91041,1,0.98272,0.86578,0.56712,0.39828,0.53852,0.85112,0.0010892,0.0010892,0.0010892
48,194.898,0.49568,0.48971,0.43388,0.84384,0.96847,0.93093,0.98564,0.85381,0.96847,0.93093,0.98564,0.86075,0.60014,0.55495,0.48353,0.82731,0.0010694,0.0010694,0.0010694
49,198.875,0.49621,0.49796,0.43062,0.84451,1,0.87804,0.96266,0.80078,1,0.87804,0.96157,0.8445,0.61166,0.72597,0.54245,0.81325,0.0010496,0.0010496,0.0010496
50,202.906,0.50694,0.47081,0.42417,0.83697,0.99484,0.90909,0.96313,0.82816,0.99484,0.90909,0.96313,0.8556,0.54724,0.75932,0.52663,0.81451,0.0010298,0.0010298,0.0010298
51,206.992,0.48449,0.47452,0.40811,0.8505,0.99181,0.93939,0.96464,0.83792,0.99181,0.93939,0.96464,0.87466,0.5338,0.7455,0.49287,0.81628,0.00101,0.00101,0.00101
52,211.021,0.47134,0.46974,0.40696,0.8368,0.99371,0.93939,0.95711,0.8006,0.99371,0.93939,0.95582,0.85146,0.60107,0.79966,0.53331,0.87537,0.0009902,0.0009902,0.0009902
53,215.043,0.47821,0.479,0.39358,0.84671,0.98966,0.90909,0.94748,0.81657,0.98966,0.90909,0.94445,0.84733,0.56343,0.82346,0.52131,0.8739,0.0009704,0.0009704,0.0009704
54,219.059,0.4712,0.48977,0.39017,0.83796,0.96754,0.90353,0.95583,0.82795,0.96754,0.90353,0.95583,0.85706,0.5597,0.64003,0.5357,0.86572,0.0009506,0.0009506,0.0009506
55,223.115,0.45798,0.44868,0.38723,0.83421,1,0.9353,0.97637,0.82195,1,0.9353,0.97637,0.87989,0.50491,0.58516,0.48148,0.80283,0.0009308,0.0009308,0.0009308
56,227.398,0.46147,0.46022,0.39365,0.83028,1,0.90334,0.97753,0.86016,1,0.90334,0.97753,0.8876,0.56962,0.52764,0.48962,0.83668,0.000911,0.000911,0.000911
57,231.655,0.45931,0.45495,0.39117,0.8439,0.93822,0.9697,0.98386,0.8593,0.93822,0.9697,0.98386,0.8941,0.59776,0.49806,0.4752,0.83022,0.0008912,0.0008912,0.0008912
58,235.741,0.45865,0.44789,0.37616,0.83867,0.96873,0.93887,0.97728,0.82659,0.96873,0.93887,0.97728,0.88162,0.66794,0.57349,0.53979,0.84998,0.0008714,0.0008714,0.0008714
59,239.846,0.48403,0.49254,0.39659,0.84352,0.96836,0.92755,0.96901,0.85084,0.96836,0.92755,0.96901,0.83805,0.67416,0.56695,0.54769,0.85659,0.0008516,0.0008516,0.0008516
60,243.898,0.47436,0.50802,0.38265,0.83732,0.93214,0.90909,0.97348,0.85247,0.93214,0.90909,0.97348,0.86784,0.6458,0.58604,0.54802,0.84241,0.0008318,0.0008318,0.0008318
