epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.107,1.73134,6.92501,1.79818,0.0183,0.60606,0.01918,0.00964,2.10872,inf,3.02343,0.00026,0.00026,0.00026
2,348.773,1.8903,3.44075,1.84741,0.00013,0.0303,6e-05,1e-05,nan,nan,nan,0.000534654,0.000534654,0.000534654
3,507.707,2.13782,3.09472,2.2074,0,0,0,0,nan,nan,nan,0.000803764,0.000803764,0.000803764
4,732.42,2.12284,2.65906,2.2291,0,0,0,0,nan,nan,nan,0.00106733,0.00106733,0.00106733
5,913.156,2.12748,2.51264,2.21054,0,0,0,0,nan,nan,nan,0.00132535,0.00132535,0.00132535
6,1141.38,2.19617,2.24553,2.23875,0,0,0,0,nan,nan,nan,0.00157783,0.00157783,0.00157783
7,1320.08,2.25138,2.21268,2.35424,0,0,0,0,nan,nan,nan,0.00182476,0.00182476,0.00182476
8,1487.37,2.1465,2.14648,2.17945,0,0,0,0,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,1575.56,2.13148,2.0819,2.17375,0,0,0,0,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,1687.03,2.00137,2.05904,2.05621,0.01499,0.66667,0.0142,0.00489,2.39458,inf,47.4165,0.0018218,0.0018218,0.0018218
11,1774.53,2.01472,1.94834,2.08347,0.00063,0.0303,0.00033,3e-05,nan,nan,nan,0.001802,0.001802,0.001802
12,1901.49,1.84617,1.74841,1.96633,0.26405,0.09091,0.0639,0.02088,3.57485,7.541,4.75897,0.0017822,0.0017822,0.0017822
13,2014.69,1.95811,1.83219,1.98431,0.09023,0.24242,0.09675,0.04388,2.32234,11.6028,2.6604,0.0017624,0.0017624,0.0017624
14,2162.76,1.77252,1.73016,1.85126,0.10141,0.42424,0.06785,0.02452,3.3873,13.4534,4.21369,0.0017426,0.0017426,0.0017426
15,2271.79,1.78363,1.59846,1.8187,0.17106,0.21212,0.1029,0.03302,3.75823,6.24665,6.24311,0.0017228,0.0017228,0.0017228
16,2383.44,1.82234,1.60272,1.86105,0.00231,0.48485,0.00171,0.00072,1.88391,63.8442,2.48125,0.001703,0.001703,0.001703
17,2500.67,1.72934,1.57525,1.79745,0.00065,0.15152,0.00039,0.00018,2.97391,inf,3.1996,0.0016832,0.0016832,0.0016832
18,2613.69,1.70971,1.50368,1.76625,0.5242,0.18182,0.23268,0.07364,3.17239,8.12045,3.21971,0.0016634,0.0016634,0.0016634
19,2737.25,1.64262,1.39277,1.64343,0.50072,0.57576,0.55266,0.22965,2.50313,2.30015,3.20347,0.0016436,0.0016436,0.0016436
20,2846.02,1.6847,1.44523,1.70457,0.17432,0.30303,0.16677,0.0841,3.029,24.7312,3.03385,0.0016238,0.0016238,0.0016238
21,2959.99,1.72128,1.53042,1.79708,0.64481,0.54545,0.65044,0.25955,1.95026,2.54665,2.42608,0.001604,0.001604,0.001604
22,3066.2,1.60045,1.37712,1.65945,0.55213,0.69697,0.60046,0.26008,2.60328,1.67849,3.31226,0.0015842,0.0015842,0.0015842
23,3179.14,1.61647,1.43886,1.72223,0.75336,0.75758,0.79541,0.33268,1.98964,1.65666,2.54029,0.0015644,0.0015644,0.0015644
24,3287.65,1.51408,1.24124,1.58231,0.53608,0.78788,0.78107,0.46947,1.69294,1.34519,2.27265,0.0015446,0.0015446,0.0015446
25,3394.78,1.64233,1.34839,1.63413,0.81298,0.84848,0.91592,0.51608,1.77786,1.22863,2.27082,0.0015248,0.0015248,0.0015248
