epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,129.64,0.57914,0.44381,0.47413,0.88942,0.96521,0.9697,0.99329,0.80435,0.96521,0.9697,0.99329,0.84956,0.6489,0.56894,0.56606,0.89264,0.0014258,0.0014258,0.0014258
31,133.951,0.53524,0.42272,0.43567,0.87156,0.97547,0.9697,0.99105,0.84168,0.97547,0.9697,0.99105,0.87328,0.6611,0.5355,0.47922,0.92854,0.001406,0.001406,0.001406
32,138.272,0.52485,0.3978,0.44679,0.88113,0.93873,0.92873,0.96224,0.82367,0.93873,0.92873,0.96224,0.81445,0.61381,0.67258,0.50706,0.89344,0.0013862,0.0013862,0.0013862
33,142.482,0.52396,0.43989,0.43087,0.87587,0.94038,0.93939,0.96149,0.80876,0.94038,0.93939,0.96149,0.83348,0.61816,0.60419,0.49294,0.93091,0.0013664,0.0013664,0.0013664
34,146.725,0.53464,0.42171,0.40897,0.88758,0.92502,0.9697,0.97585,0.79496,0.92502,0.9697,0.97585,0.80228,0.73457,0.59439,0.52636,0.94937,0.0013466,0.0013466,0.0013466
35,150.984,0.55485,0.45496,0.43816,0.87907,0.91666,0.99996,0.98721,0.79137,0.91666,0.99996,0.98721,0.8437,0.68031,0.4153,0.4934,0.89229,0.0013268,0.0013268,0.0013268
36,155.209,0.51382,0.415,0.40537,0.86098,0.94117,0.96953,0.98246,0.79623,0.94117,0.96953,0.98246,0.78241,0.65852,0.73928,0.47945,0.89715,0.001307,0.001307,0.001307
37,159.447,0.53164,0.42739,0.40569,0.87749,0.96563,1,0.99059,0.80922,0.96563,1,0.99059,0.81732,0.71737,0.95666,0.45514,0.93431,0.0012872,0.0012872,0.0012872
38,163.825,0.49591,0.38824,0.38561,0.89388,0.91009,0.9697,0.98203,0.81774,0.91009,0.9697,0.98203,0.82352,0.68742,0.71055,0.44812,0.91426,0.0012674,0.0012674,0.0012674
39,168.023,0.49317,0.42296,0.40111,0.87184,0.96879,0.9697,0.99159,0.81135,0.96879,0.9697,0.99159,0.88146,0.69514,0.68934,0.49563,0.90556,0.0012476,0.0012476,0.0012476
40,172.137,0.48214,0.4198,0.38054,0.86186,0.96436,1,0.99412,0.8539,0.96436,1,0.99412,0.87758,0.65465,0.49425,0.56633,0.9228,0.0012278,0.0012278,0.0012278
41,176.065,0.47647,0.41031,0.39416,0.85973,0.95893,0.93939,0.98209,0.81557,0.95893,0.93939,0.98209,0.81421,0.64572,0.43723,0.51577,0.91579,0.001208,0.001208,0.001208
42,179.936,0.43148,0.39773,0.3478,0.8699,0.96506,0.87879,0.97416,0.81577,0.96506,0.87879,0.97416,0.80855,0.64,0.4447,0.47818,0.91269,0.0011882,0.0011882,0.0011882
43,183.808,0.45871,0.41457,0.36209,0.86262,0.96242,0.93939,0.98919,0.87048,0.96242,0.93939,0.98919,0.83407,0.53533,0.41596,0.43308,0.86866,0.0011684,0.0011684,0.0011684
44,187.672,0.47909,0.43553,0.37474,0.85686,1,0.93578,0.98524,0.82107,1,0.93578,0.98524,0.8401,0.56857,0.43506,0.45245,0.8673,0.0011486,0.0011486,0.0011486
45,191.547,0.45083,0.39508,0.3528,0.85822,1,0.87451,0.93532,0.77041,1,0.87451,0.93532,0.81322,0.62538,0.47568,0.56918,0.91685,0.0011288,0.0011288,0.0011288
46,195.435,0.48339,0.41235,0.3846,0.86119,0.89645,0.90909,0.93951,0.78851,0.89645,0.90909,0.93951,0.8215,0.63658,0.55086,0.61507,0.9072,0.001109,0.001109,0.001109
47,199.3,0.47785,0.38776,0.37752,0.86447,0.86407,0.96329,0.97,0.83629,0.86407,0.96329,0.97,0.84036,0.59475,0.35869,0.47887,0.87217,0.0010892,0.0010892,0.0010892
48,203.165,0.49515,0.39745,0.37911,0.86178,0.95707,0.93939,0.98118,0.83131,0.95707,0.93939,0.98118,0.84861,0.5709,0.39726,0.46704,0.86862,0.0010694,0.0010694,0.0010694
49,207.368,0.4668,0.38335,0.36962,0.85912,0.91018,0.92138,0.95559,0.81427,0.91018,0.92138,0.95559,0.82736,0.63617,0.5286,0.52925,0.95387,0.0010496,0.0010496,0.0010496
50,211.464,0.47711,0.41657,0.36886,0.87841,0.98228,0.87879,0.95559,0.8237,0.98228,0.87879,0.95559,0.83804,0.59002,0.52271,0.54822,0.88563,0.0010298,0.0010298,0.0010298
51,215.484,0.45203,0.39341,0.35548,0.843,0.99757,0.90909,0.9743,0.84804,0.99757,0.90909,0.9743,0.86874,0.50799,0.54369,0.47903,0.86889,0.00101,0.00101,0.00101
52,219.484,0.43203,0.38354,0.35073,0.84506,0.99512,0.93939,0.96953,0.84179,0.99512,0.93939,0.96953,0.87912,0.53705,0.56758,0.50978,0.88665,0.0009902,0.0009902,0.0009902
53,225.661,0.44136,0.38013,0.35514,0.85446,0.964,0.93939,0.97345,0.84004,0.964,0.93939,0.9554,0.87827,0.59439,0.65274,0.48674,0.89011,0.0009704,0.0009704,0.0009704
54,231.71,0.42074,0.3687,0.3509,0.8468,0.96808,0.93939,0.97581,0.84144,0.96808,0.93939,0.95567,0.88178,0.51163,0.75727,0.44329,0.87049,0.0009506,0.0009506,0.0009506
55,237.328,0.43472,0.39659,0.34869,0.83262,0.83721,0.93939,0.93954,0.77018,0.83721,0.93939,0.90888,0.77813,0.6553,1.02792,0.54266,0.92567,0.0009308,0.0009308,0.0009308
56,241.25,0.42169,0.36766,0.36156,0.86604,0.8854,0.93652,0.95317,0.81178,0.8854,0.93652,0.9384,0.82817,0.60585,0.85089,0.51487,0.91687,0.000911,0.000911,0.000911
57,245.292,0.41543,0.39,0.33284,0.84256,0.94827,0.90909,0.9805,0.84568,0.94827,0.90909,0.9805,0.85347,0.4931,0.64342,0.42247,0.87166,0.0008912,0.0008912,0.0008912
58,249.3,0.42088,0.37643,0.33513,0.85095,0.98972,0.9697,0.99329,0.849,0.98972,0.9697,0.99329,0.88365,0.51707,0.52828,0.40321,0.84428,0.0008714,0.0008714,0.0008714
59,253.432,0.40475,0.37377,0.3264,0.82874,0.96538,1,0.99412,0.86039,0.96538,1,0.99412,0.89789,0.53757,0.45517,0.41413,0.86284,0.0008516,0.0008516,0.0008516
60,257.631,0.44002,0.36507,0.34513,0.85399,0.99264,1,0.995,0.86324,0.99264,1,0.995,0.91333,0.53653,0.44135,0.40685,0.84644,0.0008318,0.0008318,0.0008318
61,261.747,0.40695,0.40509,0.33245,0.84041,0.98693,1,0.995,0.8862,0.98693,1,0.995,0.92533,0.52121,0.47488,0.38564,0.83964,0.000812,0.000812,0.000812
62,265.883,0.40719,0.34452,0.33216,0.83727,0.9926,1,0.995,0.88689,0.9926,1,0.995,0.91248,0.49189,0.49703,0.40537,0.83287,0.0007922,0.0007922,0.0007922
63,270.04,0.40302,0.36337,0.33543,0.83214,0.9996,1,0.995,0.8933,0.9996,1,0.995,0.88167,0.53928,0.41434,0.42185,0.84285,0.0007724,0.0007724,0.0007724
64,274.177,0.39726,0.34869,0.32284,0.83627,0.96876,1,0.99412,0.88473,0.96876,1,0.99412,0.89077,0.55234,0.39018,0.41623,0.84687,0.0007526,0.0007526,0.0007526
65,278.285,0.41514,0.36064,0.33675,0.84607,0.9658,1,0.99412,0.88921,0.9658,1,0.99412,0.91768,0.53413,0.38406,0.42985,0.8433,0.0007328,0.0007328,0.0007328
66,282.357,0.39829,0.37374,0.31768,0.84369,0.99287,1,0.995,0.8998,0.99287,1,0.995,0.91722,0.48907,0.34826,0.38298,0.83863,0.000713,0.000713,0.000713
67,286.456,0.41092,0.39692,0.30846,0.8386,0.96678,1,0.99235,0.88717,0.96678,1,0.99235,0.90216,0.46501,0.35013,0.35677,0.83005,0.0006932,0.0006932,0.0006932
68,290.411,0.37766,0.33971,0.30584,0.82957,0.91664,1,0.98414,0.90289,0.91664,1,0.98414,0.88108,0.44395,0.37182,0.36264,0.83166,0.0006734,0.0006734,0.0006734
69,294.365,0.3782,0.30623,0.28349,0.83103,0.96278,0.9697,0.99056,0.89732,0.96278,0.9697,0.99056,0.89554,0.40899,0.37857,0.33739,0.81943,0.0006536,0.0006536,0.0006536
70,298.343,0.35717,0.31911,0.29251,0.84253,0.99708,1,0.995,0.90145,0.99708,1,0.995,0.90345,0.41067,0.40076,0.3509,0.81642,0.0006338,0.0006338,0.0006338
71,302.421,0.38474,0.37178,0.29736,0.82734,0.99817,1,0.995,0.88177,0.99817,1,0.995,0.9356,0.46085,0.43445,0.34847,0.82722,0.000614,0.000614,0.000614
