epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,494.511,0.83717,0.43748,0.69137,1.15335,0.81695,0.66667,0.81029,0.49957,0.90909,0.72727,0.87227,0.52871,1.5294,0.47364,1.16391,1.97576,0.001406,0.001406,0.001406
32,512.786,0.81996,0.4058,0.65265,1.1613,0.85943,0.66667,0.82395,0.50178,0.83913,0.69697,0.83226,0.54194,1.36526,0.52736,0.96183,1.7698,0.0013862,0.0013862,0.0013862
33,528.654,0.74709,0.42879,0.60509,1.07932,0.87513,0.72727,0.87187,0.48359,0.81041,0.7774,0.89299,0.51244,1.5439,0.44878,0.8935,1.93178,0.0013664,0.0013664,0.0013664
34,545.109,0.76865,0.45514,0.6229,1.08434,0.79779,0.69697,0.82123,0.50401,0.84101,0.72727,0.84865,0.5466,1.29296,0.57129,0.94686,1.76388,0.0013466,0.0013466,0.0013466
35,560.616,0.75382,0.42822,0.59549,1.06882,0.69238,0.54545,0.69628,0.43223,0.97251,0.48485,0.71041,0.47588,1.64646,0.78932,1.17722,1.81024,0.0013268,0.0013268,0.0013268
36,574.511,0.77868,0.38726,0.60709,1.13448,0.63242,0.84848,0.84634,0.51792,0.63242,0.84848,0.84634,0.57447,1.41447,0.52802,0.9006,1.80159,0.001307,0.001307,0.001307
37,588.374,0.74552,0.47318,0.60177,1.08391,0.90675,0.75758,0.86326,0.53692,0.90675,0.75758,0.87457,0.6265,1.46319,0.58413,0.85962,1.85004,0.0012872,0.0012872,0.0012872
38,603.026,0.71305,0.3645,0.57523,1.09803,0.85477,0.75758,0.89472,0.53727,0.85477,0.75758,0.89472,0.59309,1.26524,0.53226,0.88473,1.72146,0.0012674,0.0012674,0.0012674
39,617.123,0.7232,0.39221,0.57486,1.07833,0.69354,0.84848,0.87185,0.51536,0.711,0.84848,0.87969,0.57626,1.41518,0.42273,0.89437,2.00566,0.0012476,0.0012476,0.0012476
40,631.086,0.69173,0.37292,0.5647,1.0693,0.83267,0.90484,0.93385,0.51221,0.86041,0.93401,0.95675,0.59889,1.46564,0.42607,0.96659,1.84662,0.0012278,0.0012278,0.0012278
41,645.195,0.66028,0.38823,0.55033,1.05837,0.66089,0.84848,0.80214,0.48597,0.66089,0.84848,0.81479,0.54624,1.25972,0.35645,0.93773,1.78176,0.001208,0.001208,0.001208
42,659.249,0.68668,0.33825,0.55501,1.08298,0.64882,0.87879,0.86193,0.57695,0.64882,0.87879,0.86193,0.6138,1.12629,0.33032,0.90076,1.68092,0.0011882,0.0011882,0.0011882
43,673.813,0.69487,0.39379,0.5485,1.08179,0.57076,0.96708,0.82697,0.51394,0.64249,0.81818,0.87025,0.55915,1.42073,0.45242,0.96962,1.96828,0.0011684,0.0011684,0.0011684
44,687.942,0.66508,0.34431,0.50203,1.0135,0.67237,0.93939,0.84274,0.5158,0.67237,0.93939,0.84968,0.56296,1.22769,0.69378,1.49767,1.73391,0.0011486,0.0011486,0.0011486
45,701.795,0.68361,0.40603,0.53551,1.06633,0.65371,0.87879,0.85809,0.5566,0.65371,0.87879,0.86024,0.6094,1.12812,0.53773,0.85507,1.67045,0.0011288,0.0011288,0.0011288
46,715.934,0.67483,0.36405,0.51511,1.06103,0.67042,0.86316,0.84388,0.51121,0.67042,0.86316,0.84388,0.54648,1.22108,0.49941,0.86436,1.72153,0.001109,0.001109,0.001109
47,729.847,0.6649,0.36181,0.50532,1.05578,0.64726,0.90909,0.77957,0.46593,0.64726,0.90909,0.78117,0.53264,1.14092,0.45304,0.98742,1.70573,0.0010892,0.0010892,0.0010892
48,743.987,0.63445,0.38507,0.50264,1.04626,0.74826,0.87879,0.8752,0.52485,0.74826,0.87879,0.8752,0.5922,1.31134,0.52868,1.35751,1.75894,0.0010694,0.0010694,0.0010694
49,758.015,0.59047,0.34522,0.49614,1.01246,0.92493,0.74702,0.87718,0.58778,0.92493,0.74702,0.87828,0.65773,1.05015,0.51482,1.19566,1.60085,0.0010496,0.0010496,0.0010496
50,772.898,0.67139,0.41386,0.51923,1.07702,0.80945,0.93939,0.9076,0.57983,0.80945,0.93939,0.9076,0.64445,1.15715,0.55188,1.29647,1.65343,0.0010298,0.0010298,0.0010298
51,787.284,0.59571,0.3823,0.47157,1.01966,0.77555,0.9697,0.89371,0.60786,0.77555,0.9697,0.89371,0.62923,1.09929,0.58305,0.74854,1.61672,0.00101,0.00101,0.00101
52,801.447,0.5941,0.36898,0.4567,1.03593,0.71693,0.93939,0.90786,0.60005,0.71693,0.93939,0.90786,0.62585,1.0847,0.6243,0.85154,1.57978,0.0009902,0.0009902,0.0009902
53,814.318,0.55974,0.3338,0.46184,1.00992,0.74581,0.90909,0.92219,0.61872,0.74581,0.90909,0.92219,0.67202,0.95192,0.56143,0.71696,1.49637,0.0009704,0.0009704,0.0009704
54,828.302,0.56674,0.34798,0.45399,0.99132,0.83203,0.90909,0.92289,0.6552,0.83203,0.90909,0.92289,0.69427,1.00011,0.45481,0.74925,1.46905,0.0009506,0.0009506,0.0009506
55,847.891,0.59204,0.35972,0.4664,1.01499,0.82894,0.88113,0.92419,0.66985,0.82894,0.88113,0.92419,0.69293,0.91556,0.36097,0.87208,1.40993,0.0009308,0.0009308,0.0009308
56,865.419,0.58046,0.33225,0.44127,1.00752,0.81715,0.94813,0.94704,0.6507,0.81715,0.94813,0.94704,0.69488,0.93944,0.31145,0.87318,1.42871,0.000911,0.000911,0.000911
57,881.739,0.62453,0.35977,0.4617,1.05413,0.72247,0.9697,0.8972,0.64443,0.72247,0.9697,0.8972,0.67694,0.95183,0.33496,0.74841,1.55949,0.0008912,0.0008912,0.0008912
58,895.24,0.55945,0.30587,0.43577,0.99362,0.79832,0.95977,0.91838,0.63893,0.79832,0.95977,0.91838,0.666,1.00936,0.35456,0.71841,1.5902,0.0008714,0.0008714,0.0008714
59,909.259,0.51271,0.31066,0.40203,0.97961,0.77123,0.93939,0.91355,0.6495,0.77123,0.93939,0.91355,0.71407,0.91634,0.3944,0.69912,1.4286,0.0008516,0.0008516,0.0008516
