epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,414.71,0.62262,0.41119,0.49798,0.8992,0.98855,0.93939,0.97546,0.82483,0.98855,0.93939,0.97546,0.8392,0.63695,0.64076,0.5585,0.89287,0.0014258,0.0014258,0.0014258
31,486.897,0.57021,0.3717,0.47622,0.87576,0.90756,0.93939,0.97507,0.8236,0.90756,0.93939,0.97507,0.8601,0.66669,0.46274,0.53269,0.87657,0.001406,0.001406,0.001406
32,635.085,0.54707,0.34957,0.46434,0.86467,0.8802,0.89076,0.95828,0.80646,0.8802,0.89076,0.95828,0.81764,0.6658,0.81941,0.55049,0.8936,0.0013862,0.0013862,0.0013862
33,1170.06,0.58555,0.42224,0.45411,0.86516,0.99339,0.81818,0.94378,0.79876,0.99339,0.81818,0.94378,0.79556,0.59486,0.99203,0.57037,0.87759,0.0013664,0.0013664,0.0013664
34,1223.81,0.56343,0.42433,0.46055,0.87349,0.89829,0.9697,0.98216,0.83808,0.89829,0.9697,0.98216,0.83575,0.58658,0.83916,0.50632,0.86522,0.0013466,0.0013466,0.0013466
35,1237.09,0.56576,0.37716,0.44663,0.86993,0.99754,0.93939,0.98493,0.82614,0.99754,0.93939,0.98349,0.82941,0.59872,0.79827,0.50494,0.88366,0.0013268,0.0013268,0.0013268
36,1243.48,0.55868,0.34745,0.45151,0.89174,1,0.96276,0.98207,0.81398,1,0.96276,0.97588,0.81568,0.6106,0.60864,0.53051,0.87472,0.001307,0.001307,0.001307
37,1249.6,0.57429,0.41628,0.45122,0.86674,0.95996,0.78788,0.92947,0.79748,0.95996,0.78788,0.92947,0.78234,0.56967,0.86887,0.79428,0.85112,0.0012872,0.0012872,0.0012872
38,1255.72,0.52093,0.39299,0.44149,0.86055,0.99201,0.75758,0.79792,0.68797,0.99201,0.75758,0.79097,0.68972,0.61406,2.18051,1.31532,0.8879,0.0012674,0.0012674,0.0012674
39,1261.81,0.52302,0.3837,0.44114,0.85572,0.97407,0.81818,0.94283,0.79366,0.97407,0.81818,0.94283,0.80303,0.55187,0.72968,0.70779,0.8424,0.0012476,0.0012476,0.0012476
40,1267.92,0.51963,0.36841,0.4248,0.86064,1,0.99478,0.995,0.8307,1,0.99478,0.995,0.87579,0.55533,0.67769,0.48219,0.83266,0.0012278,0.0012278,0.0012278
41,1274.16,0.54075,0.36471,0.45654,0.85534,0.94251,0.93939,0.98437,0.82185,0.94251,0.93939,0.98437,0.84127,0.50504,0.62771,0.47227,0.8281,0.001208,0.001208,0.001208
42,1280.26,0.52776,0.36076,0.43724,0.86416,0.95987,0.72499,0.74967,0.6483,0.95987,0.72499,0.74967,0.62155,0.54854,3.78341,1.26735,0.86683,0.0011882,0.0011882,0.0011882
43,1286.37,0.50273,0.37587,0.42475,0.84268,1,0.81271,0.88867,0.77192,1,0.81271,0.88867,0.72709,0.5491,1.15703,0.64377,0.84346,0.0011684,0.0011684,0.0011684
44,1292.39,0.50654,0.33225,0.4085,0.84368,1,0.96598,0.99412,0.87294,1,0.96598,0.99412,0.87525,0.54666,0.62974,0.474,0.83251,0.0011486,0.0011486,0.0011486
45,1298.74,0.52577,0.39669,0.44564,0.84969,0.935,0.9697,0.98071,0.83934,0.935,0.9697,0.98071,0.85195,0.55191,0.68261,0.55544,0.84401,0.0011288,0.0011288,0.0011288
46,1304.9,0.52143,0.32325,0.4208,0.86427,0.90196,0.83658,0.89731,0.7683,0.90196,0.83658,0.89731,0.77838,0.56319,0.94933,0.6836,0.87866,0.001109,0.001109,0.001109
47,1310.98,0.49727,0.35136,0.42252,0.86079,0.9614,0.75493,0.8892,0.77872,0.9614,0.75493,0.87754,0.75669,0.51819,1.00156,0.89159,0.84883,0.0010892,0.0010892,0.0010892
48,1317.11,0.47659,0.36815,0.408,0.83481,1,0.93788,0.96884,0.86454,1,0.93788,0.9418,0.87014,0.47545,0.65628,0.50979,0.79733,0.0010694,0.0010694,0.0010694
49,1323.18,0.48557,0.32399,0.40735,0.84614,1,0.99371,0.995,0.87164,1,0.99371,0.995,0.856,0.47535,0.85107,0.41713,0.79462,0.0010496,0.0010496,0.0010496
50,1329.21,0.47148,0.37578,0.39059,0.8576,0.99549,0.90909,0.98312,0.87684,0.99549,0.90909,0.98312,0.8451,0.48944,0.96115,0.5,0.80998,0.0010298,0.0010298,0.0010298
51,1335.39,0.48266,0.35395,0.37735,0.84872,0.996,0.93939,0.98344,0.85671,0.996,0.93939,0.98344,0.85657,0.55001,0.68706,0.5779,0.83028,0.00101,0.00101,0.00101
