epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,47.7976,0.8138,0.60585,1.03854,0.8908,0.98976,1,0.995,0.81762,0.98976,1,0.995,0.8663,0.8132,0.63562,0.98672,0.8357,0.001406,0.001406,0.001406
32,49.1087,0.76476,0.44383,1.0177,0.88852,0.99295,1,0.995,0.85329,0.99295,1,0.995,0.81924,0.78706,0.63235,0.91678,0.81968,0.0013862,0.0013862,0.0013862
33,50.4557,0.78514,0.58899,1.05867,0.90359,0.99485,1,0.995,0.82058,0.99485,1,0.995,0.76952,0.71369,0.62642,0.8958,0.79658,0.0013664,0.0013664,0.0013664
34,51.808,0.82908,0.43581,0.93704,0.89609,0.9942,1,0.995,0.79684,0.9942,1,0.995,0.88765,0.7157,0.59375,0.85738,0.78423,0.0013466,0.0013466,0.0013466
35,53.2615,0.74317,0.59478,0.99868,0.88349,0.99401,1,0.995,0.78999,0.99401,1,0.995,0.86204,0.72984,0.58904,0.90123,0.79209,0.0013268,0.0013268,0.0013268
36,54.6478,0.79273,0.59131,1.08236,0.91937,0.99373,1,0.995,0.8033,0.99373,1,0.995,0.90082,0.89697,0.62842,0.89893,0.8346,0.001307,0.001307,0.001307
37,55.9809,0.75772,0.47715,0.94249,0.89406,0.99362,1,0.995,0.78184,0.99362,1,0.995,0.9017,0.97221,0.66877,0.88976,0.84995,0.0012872,0.0012872,0.0012872
38,57.253,0.76096,0.52888,1.00852,0.85902,0.99362,1,0.995,0.78184,0.99362,1,0.995,0.9017,0.97221,0.66877,0.88976,0.84995,0.0012674,0.0012674,0.0012674
39,58.6537,0.70022,0.51032,0.93875,0.88081,0.99305,1,0.995,0.7926,0.99305,1,0.995,0.90165,0.77862,0.643,0.78786,0.82091,0.0012476,0.0012476,0.0012476
40,60.1072,0.75046,0.49387,0.92275,0.87735,0.99347,1,0.995,0.77319,0.99347,1,0.995,0.85662,0.7684,0.64724,0.81119,0.806,0.0012278,0.0012278,0.0012278
41,61.5461,0.71478,0.42259,0.95149,0.85758,0.99443,1,0.995,0.77144,0.99443,1,0.995,0.83477,0.81213,0.64089,0.77704,0.80445,0.001208,0.001208,0.001208
42,62.8626,0.6767,0.57734,0.95498,0.87183,0.99453,1,0.995,0.73424,0.99453,1,0.995,0.8103,0.93501,0.63159,0.75982,0.82312,0.0011882,0.0011882,0.0011882
43,64.2548,0.69021,0.613,0.83812,0.87138,0.99412,1,0.995,0.77772,0.99412,1,0.995,0.88687,0.83829,0.59498,0.6874,0.80205,0.0011684,0.0011684,0.0011684
44,65.6024,0.72105,0.53291,0.91101,0.89848,0.99436,1,0.995,0.76612,0.99436,1,0.995,0.9099,0.77407,0.59361,0.7237,0.78606,0.0011486,0.0011486,0.0011486
45,66.9437,0.68214,0.51004,0.89434,0.86681,0.99418,1,0.995,0.77797,0.99418,1,0.995,0.88793,0.73997,0.58711,0.82656,0.78314,0.0011288,0.0011288,0.0011288
46,68.2493,0.68957,0.49109,0.88701,0.88024,0.99418,1,0.995,0.77797,0.99418,1,0.995,0.88793,0.73997,0.58711,0.82656,0.78314,0.001109,0.001109,0.001109
47,69.6328,0.68432,0.44095,0.83591,0.86884,0.99321,1,0.995,0.80023,0.99321,1,0.995,0.83347,0.73808,0.5855,0.7779,0.79507,0.0010892,0.0010892,0.0010892
48,70.9537,0.65127,0.41878,0.83958,0.89188,0.99321,1,0.995,0.77288,0.99321,1,0.995,0.82507,0.83491,0.62526,0.78047,0.79454,0.0010694,0.0010694,0.0010694
